Comment,Designator,Footprint,LCSC,Quantity
0603L100SLYR,U4,R0603,C207017,1
1.5kΩ,R10,R_0402,C25867,1
1.5uH,L1,IND-SMD_L4.0-W4.0-A,C3033018,1
100kΩ,"R13,R14",R_0603,C25803,2
100nF,"C13,C16,C3,C7",C_0402,C1525,4
10kΩ,"R18,R4,R5,R6",R_0402,C25744,4
10uF,"C2,C6",C_0805,C15850,2
180kΩ,R2,R_0603,C22827,1
1MΩ,R1,R_0603,C22935,1
1kΩ,"R15,R7",R_0402,C11702,2
1uF,"C12,C15",C_0805,C28323,2
22uF,"C1,C11,C14,C4,C5",C_0805,C45783,5
2kΩ,R8,R_0402,C4109,1
47kΩ,R9,R_0402,C25792,1
5.1kΩ,"R11,R12,R16,R17",R_0402,C25905,4
BC847,"Q1,Q2",SOT-23,C8664,2
BQ24092DGQR,U3,MSOP-10_L3.0-W3.0-P0.50-LS5.0-BL-EP,C133237,1
ESP32-WROOM-E,U5,ESP32-WROOM-32E,C701342,1
Green,D2,D_0805,C2297,1
MST-12D18G4 SPDT SLIDE SWITCH,ON,SW-SMD_MST-12D18G4-SPDT-SLIDE-SWITCH,C49023767,1
Red,D1,D_0603,C2286,1
TPS63020DSJT,U1,VSON-14_L4.0-W3.0-P0.50-BL-EP_TI_DSJ,C544952,1
TYPE-C 6P,USB1,TYPE-C-SMD_TYPE-C-6P-073,C668623,1
