Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,22uF,C_0805,47.95,19.6,180.0,top
C11,22uF,C_0805,32.0,7.5,90.0,top
C12,1uF,C_0805,35.0,8.0,0.0,top
C13,100nF,C_0402,47.5,16.0,180.0,top
C14,22uF,C_0805,12.7,55.15,90.0,top
C15,1uF,C_0805,15.2,55.15,90.0,top
C16,100nF,C_0402,17.5,55.5,90.0,top
C2,10uF,C_0805,51.95,19.6,0.0,top
C3,100nF,C_0402,52.5,22.0,0.0,top
C4,22uF,C_0805,53.0,30.6,0.0,top
C5,22uF,C_0805,49.0,30.6,180.0,top
C6,10uF,C_0805,49.0,28.1,180.0,top
C7,100nF,C_0402,36.5,37.0,180.0,top
D1,Red,D_0603,35.0,2.0,0.0,top
D2,Green,D_0805,27.5,32.0,90.0,top
L1,1.5uH,IND-SMD_L4.0-W4.0-A,45.0,24.6,-90.0,top
ON,MST-12D18G4 SPDT SLIDE SWITCH,SW-SMD_MST-12D18G4-SPDT-SLIDE-SWITCH,52.7875,8.5,90.0,top
Q1,BC847,SOT-23,31.5625,32.0,0.0,top
Q2,BC847,SOT-23,35.9375,32.0,180.0,top
R1,1MΩ,R_0603,52.5,28.1,0.0,top
R10,1.5kΩ,R_0402,37.5,2.0,90.0,top
R11,5.1kΩ,R_0402,28.0,3.5,90.0,top
R12,5.1kΩ,R_0402,16.0,3.5,90.0,top
R13,100kΩ,R_0603,48.5,17.5,180.0,top
R14,100kΩ,R_0603,45.0,20.0,90.0,top
R15,1kΩ,R_0402,27.5,29.5,0.0,top
R16,5.1kΩ,R_0402,39.5,37.5,180.0,top
R17,5.1kΩ,R_0402,42.0,37.5,0.0,top
R18,10kΩ,R_0402,17.9,52.8,90.0,top
R2,180kΩ,R_0603,55.0,27.1,-90.0,top
R4,10kΩ,R_0402,36.5,34.5,180.0,top
R5,10kΩ,R_0402,36.5,36.0,180.0,top
R6,10kΩ,R_0402,31.5,29.5,0.0,top
R7,1kΩ,R_0402,32.0,5.0,0.0,top
R8,2kΩ,R_0402,32.3,3.5,180.0,top
R9,47kΩ,R_0402,40.5,6.0,-90.0,top
U1,TPS63020DSJT,VSON-14_L4.0-W3.0-P0.50-BL-EP_TI_DSJ,50.000025,24.55,180.0,top
U3,BQ24092DGQR,MSOP-10_L3.0-W3.0-P0.50-LS5.0-BL-EP,36.5,5.0,-90.0,top
U4,0603L100SLYR,R0603,23.25,8.0,0.0,top
U5,ESP32-WROOM-E,ESP32-WROOM-32E,28.5,47.48,0.0,top
USB1,TYPE-C 6P,TYPE-C-SMD_TYPE-C-6P-073,22.0,3.4375,0.0,top
